mt,读取联系人,读取短信/彩信,显示在其他应用上面,修改或删除存储卡中的内容,访问确切位置信息（使用GPS和网络进行定位）,访问大致位置信息（使用网络进行定位）,接收短信,发送短信,录制音频,相机,读取存储卡中的内容,读取通话状态和移动网络信息,接收WAP信息,读取小区广播消息,查找设备上的帐号,新建/修改/删除联系人,修改系统设置,新建/修改/删除通话记录,拨打电话,means
2017年6月,0.5,0,0,0,0,1,0,0,0,0.5,0,0,0,0,0,0,1,0,0.5,0.184210526
2017年10月,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0.157894737
2018年2月,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0.263157895
2018年3月,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.105263158
2018年5月,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.105263158
2018年6月,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0.157894737
2018年7月,0.6,0.2,0,0,0,0.6,0.4,0.2,0.8,0.6,0,0,0,0,0,0,0.8,0,0.2,0.231578947
2018年8月,0.571428571,0.142857143,0.285714286,0.428571429,0,0.857142857,0.142857143,0.142857143,0.428571429,0.857142857,0.428571429,0.428571429,0,0,0.285714286,0.285714286,0.571428571,0,0.428571429,0.330827068
2018年9月,0.142857143,0.142857143,0.714285714,1,0,0.857142857,0.285714286,0,0.428571429,1,1,1,0,0,0.142857143,0,0.857142857,0,0.714285714,0.436090226
2018年10月,0.25,0,0.75,1,0,0.5,0,0,0.25,0.5,1,1,0,0,0.25,0,1,0,0.25,0.355263158
2018年11月,0.5,0.166666667,0.166666667,1,0,0.833333333,0.166666667,0,0.666666667,0.833333333,0.833333333,1,0,0,0.5,0.166666667,0.666666667,0,0.833333333,0.438596491
2018年12月,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0.5,0,1,0.342105263
2019年1月,0.125,0,0.375,1,0,0.625,0,0,0.625,0.625,0.875,0.75,0,0,0.375,0,0.375,0,0.125,0.309210526
2019年2月,0.5,0,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0.5,0,0,0.421052632
2019年3月,0,0.083333333,0.416666667,1,0,0.916666667,0.25,0,0.5,0.75,0.75,1,0,0,0.333333333,0,0.75,0,0.333333333,0.372807018
2019年4月,0.25,0,0,1,0,1,0,0,0.25,0.75,1,1,0,0,0,0,0.75,0,1,0.368421053
2019年5月,0.111111111,0,0.444444444,1,0,1,0.111111111,0,0.555555556,0.888888889,0.888888889,0.888888889,0,0,0.222222222,0,0.555555556,0,0.444444444,0.374269006
2019年6月,0.357142857,0.071428571,0.357142857,1,0,0.714285714,0.071428571,0.142857143,0.5,0.714285714,0.928571429,0.928571429,0,0,0.214285714,0.071428571,0.714285714,0,0.5,0.383458647
2019年7月,0.5,0.25,0.875,1,0,1,0.125,0,0.75,1,0.875,1,0,0,0.5,0.125,0.75,0,0.625,0.493421053
2019年8月,0.428571429,0.142857143,0.428571429,1,0,0.857142857,0,0.142857143,0.142857143,0.714285714,0.857142857,1,0,0,0.428571429,0.285714286,0.714285714,0,0.428571429,0.398496241
2019年9月,0.285714286,0.071428571,0.642857143,1,0,0.928571429,0.071428571,0,0.714285714,0.857142857,1,0.857142857,0,0,0.428571429,0.214285714,0.571428571,0.071428571,0.571428571,0.436090226
2019年10月,0.19047619,0.095238095,0.428571429,1,0,0.952380952,0.142857143,0.095238095,0.476190476,0.80952381,1,0.904761905,0,0,0.19047619,0.047619048,0.476190476,0,0.333333333,0.37593985
2019年11月,0.315789474,0.105263158,0.526315789,0.947368421,0,0.842105263,0.052631579,0.157894737,0.684210526,0.789473684,0.947368421,0.947368421,0,0,0.315789474,0.157894737,0.421052632,0.052631579,0.421052632,0.404432133
2019年12月,0.153846154,0.038461538,0.423076923,1,0,0.846153846,0.038461538,0.076923077,0.461538462,0.884615385,1,0.846153846,0,0,0.269230769,0.076923077,0.5,0,0.153846154,0.356275304
2020年1月,0.230769231,0.153846154,0.538461538,1,0,0.769230769,0.115384615,0.076923077,0.5,0.807692308,1,0.961538462,0,0,0.384615385,0.153846154,0.576923077,0.038461538,0.384615385,0.4048583
2020年2月,0,0,0.4,1,0,0.8,0,0.2,0.2,0.8,1,1,0,0,0,0,0.6,0,0.4,0.336842105
2020年3月,0.230769231,0.192307692,0.692307692,0.961538462,0,0.807692308,0.115384615,0.038461538,0.423076923,0.692307692,0.961538462,0.961538462,0,0,0.346153846,0.076923077,0.538461538,0,0.346153846,0.388663968
2020年4月,0.222222222,0.111111111,0.472222222,1,0,0.888888889,0.083333333,0.083333333,0.527777778,0.75,1,0.944444444,0,0.027777778,0.25,0.138888889,0.638888889,0.055555556,0.416666667,0.400584795
2020年5月,0.275,0.125,0.675,1,0,0.875,0.1,0.05,0.5,0.75,1,0.95,0,0,0.275,0.025,0.675,0,0.325,0.4
2020年6月,0.162162162,0.054054054,0.540540541,1,0,0.810810811,0.081081081,0.054054054,0.567567568,0.756756757,1,0.972972973,0,0,0.297297297,0.081081081,0.621621622,0,0.297297297,0.384068279
2020年7月,0.260869565,0.108695652,0.673913043,1,0,0.869565217,0.130434783,0.152173913,0.630434783,0.847826087,1,0.956521739,0,0,0.195652174,0.086956522,0.630434783,0.043478261,0.347826087,0.417620137
2020年8月,0.254545455,0.072727273,0.490909091,1,0,0.818181818,0.072727273,0.036363636,0.527272727,0.8,1,0.945454545,0,0,0.218181818,0.109090909,0.6,0,0.381818182,0.385645933
2020年9月,0.2625,0.0375,0.6125,0.9875,0,0.825,0.0375,0.0625,0.4875,0.7875,0.9875,0.925,0,0,0.2125,0.075,0.675,0,0.25,0.380263158
2020年10月,0.238461538,0.092307692,0.561538462,0.976923077,0,0.815384615,0.092307692,0.107692308,0.569230769,0.8,0.969230769,0.915384615,0,0,0.269230769,0.1,0.661538462,0.007692308,0.361538462,0.396761134
2020年11月,0.245098039,0.058823529,0.625,0.990196078,0,0.808823529,0.046568627,0.041666667,0.580882353,0.852941176,0.980392157,0.926470588,0,0,0.203431373,0.056372549,0.632352941,0.007352941,0.276960784,0.385964912
2020年12月,0.238921002,0.075144509,0.712909441,0.990366089,0,0.76300578,0.050096339,0.052023121,0.680154143,0.851637765,0.992292871,0.926782274,0,0,0.179190751,0.05973025,0.670520231,0.005780347,0.252408478,0.394787547
