app_name,authority,releaseDate,developer,tabName
百度输入法,"1读取联系人
2读取短信/彩信
3显示在其他应用上面
4修改或删除存储卡中的内容
5访问确切位置信息（使用 GPS 和网络进行定位）
6访问大致位置信息（使用网络进行定位）
7接收短信
8发送短信
9录制音频
10相机
11读取存储卡中的内容
12读取通话状态和移动网络信息
13修改系统设置",2020/11/27,百度在线网络技术（北京）有限公司,实用工具
搜狗输入法,"1读取联系人
2读取短信/彩信
3查找设备上的帐号
4显示在其他应用上面
5修改或删除存储卡中的内容
6访问确切位置信息（使用 GPS 和网络进行定位）
7访问大致位置信息（使用网络进行定位）
8接收短信
9应用使用情况
10录制音频
11相机
12读取存储卡中的内容
13修改系统设置
14读取通话状态和移动网络信息",2020/12/11,北京搜狗科技发展有限公司,实用工具
讯飞输入法,"1访问大致位置信息（使用网络进行定位）
2录制音频
3读取联系人
4显示在其他应用上面
5修改或删除存储卡中的内容
6访问确切位置信息（使用 GPS 和网络进行定位）
7相机
8读取存储卡中的内容
9读取通话状态和移动网络信息",2020/12/2,科大讯飞股份有限公司,实用工具
KK键盘,"1显示在其他应用上面
2修改或删除存储卡中的内容
3录制音频
4读取存储卡中的内容
5读取通话状态和移动网络信息
6修改系统设置",2020/12/8,北京闪趣信息技术有限公司,实用工具
QQ输入法,"1读取联系人
2查找设备上的帐号
3显示在其他应用上面
4录制音频
5修改或删除存储卡中的内容
6读取存储卡中的内容
7读取通话状态和移动网络信息",2020/11/6,北京搜狗科技发展有限公司,实用工具
键多多输入法,"1访问大致位置信息（使用网络进行定位）
2录制音频
3读取联系人
4显示在其他应用上面
5修改或删除存储卡中的内容
6访问确切位置信息（使用 GPS 和网络进行定位）
7相机
8读取存储卡中的内容
9读取通话状态和移动网络信息
10修改系统设置",2020/12/11,上海游牟网络科技有限公司,实用工具
章鱼输入法,"1新建/修改/删除日历
2读取电话号码
3读取日历
4访问大致位置信息（使用网络进行定位）
5应用使用情况
6录制音频
7读取联系人
8读取短信/彩信
9查找设备上的帐号
10显示在其他应用上面
11修改或删除存储卡中的内容
12访问确切位置信息（使用 GPS 和网络进行定位）
13相机
14读取存储卡中的内容
15读取通话状态和移动网络信息
16修改系统设置",2020/12/9,北京智慧章鱼科技有限公司,实用工具
Uyghurche Kirguzguch,"1读取短信/彩信
2新建/修改/删除联系人
3录制音频
4查找设备上的帐号
5读取存储卡中的内容
6修改或删除存储卡中的内容
7读取通话记录
8读取通话状态和移动网络信息
9访问大致位置信息（使用网络进行定位）
10读取联系人
11访问确切位置信息（使用 GPS 和网络进行定位）
12显示在其他应用上面",2020/3/15,广州智品网络科技有限公司,实用工具
不折叠输入法,"1修改或删除存储卡中的内容
2访问确切位置信息（使用 GPS 和网络进行定位）
3访问大致位置信息（使用网络进行定位）
4读取存储卡中的内容
5读取通话状态和移动网络信息
6修改系统设置",2020/11/20,广州字言智语科技有限公司,实用工具
快输入,"1读取联系人
2显示在其他应用上面
3修改或删除存储卡中的内容
4访问确切位置信息（使用 GPS 和网络进行定位）
5访问大致位置信息（使用网络进行定位）
6录制音频
7相机
8读取存储卡中的内容
9读取通话状态和移动网络信息
10修改系统设置",2020/12/8,聚越信息技术（上海）有限公司,实用工具
